ra,ano,ida,ieg,ips,ipv,fase,idade,alvo
RA-181,2023,6.8,8.3,2.52,8.2525,4,14.0,0
RA-184,2023,7.1,9.5,7.52,8.5025,4,13.0,0
RA-186,2023,6.9,9.7,2.52,8.46,4,14.0,0
RA-187,2023,6.9,9.9,2.52,8.255,3,13.0,0
RA-189,2023,6.5,9.4,2.52,8.3775,4,14.0,0
RA-191,2023,7.8,9.7,2.52,8.4625,4,14.0,0
RA-193,2023,6.5,9.4,2.52,8.17,4,13.0,0
RA-195,2023,6.0,9.2,2.52,8.79,4,14.0,0
RA-196,2023,6.2,9.0,2.52,8.2125,4,13.0,0
RA-197,2023,7.2,9.8,2.52,8.46,4,13.0,0
RA-204,2023,7.1,7.9,2.52,8.045,4,14.0,0
RA-211,2023,7.1,9.4,2.52,8.71,4,14.0,0
RA-215,2023,6.9,6.6,2.52,7.7125,4,14.0,0
RA-220,2023,6.1,7.6,2.52,7.5475,4,14.0,0
RA-227,2023,6.9,7.5,5.63,7.4625,3,12.0,0
RA-229,2023,7.8,9.8,2.52,8.42,4,13.0,0
RA-236,2023,4.5,7.5,7.52,7.2975,3,13.0,0
RA-242,2023,7.9,9.7,2.52,9.3775,4,14.0,0
RA-244,2023,7.3,8.8,2.52,8.8325,4,13.0,0
RA-246,2023,6.8,9.9,4.39,8.9175,4,14.0,0
RA-247,2023,7.2,8.5,7.52,7.5425,3,13.0,0
RA-250,2023,8.3,9.3,5.63,8.625,3,13.0,0
RA-260,2023,6.1,9.9,7.52,7.4175,3,13.0,0
RA-269,2023,7.4,9.0,2.52,8.7975,4,14.0,0
RA-270,2023,6.6,9.0,2.52,9.1275,4,14.0,0
RA-274,2023,7.5,9.5,5.63,8.295,4,12.0,0
RA-278,2023,5.6,9.8,5.63,8.3775,4,13.0,0
RA-279,2023,8.9,10.0,6.27,9.2125,4,14.0,0
RA-280,2023,6.5,9.5,7.52,8.7125,4,14.0,0
RA-291,2023,7.1,8.6,7.52,9.21,4,14.0,0
RA-299,2023,6.1,9.6,2.52,8.005,4,14.0,0
RA-301,2023,5.2,5.4,7.52,6.465,4,14.0,0
RA-308,2023,4.9,6.8,5.0,7.5025,4,14.0,0
RA-313,2023,3.9,8.7,2.52,7.75,4,14.0,1
RA-316,2023,5.7,9.5,7.52,8.96,4,14.0,0
RA-319,2023,7.2,9.2,5.0,8.88,4,14.0,0
RA-320,2023,5.5,9.9,7.52,8.96,4,14.0,0
RA-321,2023,6.2,9.4,2.52,8.42,4,13.0,0
RA-325,2023,5.6,7.1,5.0,7.0025,2,11.0,0
RA-326,2023,8.2,9.4,3.14,9.76,3,13.0,0
RA-331,2023,5.2,8.6,2.52,6.7975,3,13.0,1
RA-338,2023,6.7,9.1,7.52,8.38,3,13.0,0
RA-339,2023,7.1,8.9,7.52,8.255,3,12.0,0
RA-346,2023,6.2,9.4,8.14,7.84,3,11.0,0
RA-347,2023,7.3,9.5,2.52,7.7925,3,13.0,0
RA-352,2023,7.2,8.1,6.26,7.17,3,12.0,0
RA-356,2023,3.4,8.5,2.52,6.5025,3,13.0,0
RA-359,2023,5.8,9.2,2.52,8.255,3,13.0,0
RA-360,2023,4.3,7.3,2.52,7.4225,3,13.0,1
RA-364,2023,5.8,9.0,6.89,7.505,3,12.0,0
RA-365,2023,8.7,9.9,2.52,8.953333333,2,10.0,0
RA-367,2023,5.9,8.7,2.52,7.7925,3,12.0,0
RA-377,2023,4.8,7.6,5.0,7.6275,3,13.0,0
RA-383,2023,6.5,8.8,3.14,7.5,3,12.0,0
RA-384,2023,7.3,9.1,2.52,7.335,3,13.0,0
RA-390,2023,4.8,8.8,2.52,7.005,3,12.0,0
RA-395,2023,6.0,8.6,2.52,7.9175,3,12.0,0
RA-398,2023,6.5,8.1,2.52,7.7925,3,11.0,0
RA-402,2023,4.2,7.3,2.52,6.88,3,13.0,0
RA-411,2023,6.6,9.0,7.52,7.5425,3,13.0,0
RA-412,2023,6.2,8.9,2.52,7.585,3,13.0,0
RA-414,2023,6.5,9.5,7.52,7.585,3,13.0,0
RA-416,2023,7.6,9.8,2.52,8.3375,3,13.0,0
RA-417,2023,7.8,9.7,7.52,8.2125,3,13.0,0
RA-418,2023,8.1,10.0,2.52,8.045,3,11.0,0
RA-419,2023,7.6,9.5,2.52,7.875,3,13.0,0
RA-420,2023,5.3,9.3,2.52,7.96,3,12.0,0
RA-421,2023,7.3,9.9,2.52,8.17,3,12.0,0
RA-424,2023,6.4,9.9,2.52,7.7925,3,13.0,0
RA-425,2023,7.5,9.9,2.52,8.3775,3,13.0,0
RA-428,2023,7.2,9.5,2.52,8.0425,3,13.0,0
RA-438,2023,5.4,7.5,6.26,7.223333333,2,11.0,1
RA-442,2023,5.8,7.6,7.52,8.1275,3,12.0,0
RA-444,2023,4.7,7.9,5.0,6.4575,3,11.0,1
RA-45,2023,7.9,9.6,6.26,8.1725,6,16.0,0
RA-457,2023,8.1,8.6,7.52,8.045,3,13.0,0
RA-459,2023,8.3,9.3,7.52,7.88,3,13.0,0
RA-471,2023,5.0,9.0,6.27,8.125,3,13.0,0
RA-476,2023,4.1,7.0,2.52,7.505,3,13.0,0
RA-479,2023,9.7,10.0,2.52,9.6375,2,11.0,0
RA-48,2023,7.7,8.4,6.26,7.6275,6,16.0,0
RA-487,2023,9.5,9.9,5.0,9.26,2,11.0,0
RA-490,2023,5.8,7.9,2.52,9.0075,2,11.0,0
RA-491,2023,5.0,9.6,2.52,8.3375,2,11.0,1
RA-493,2023,6.0,9.6,2.52,8.84,2,10.0,0
RA-499,2023,6.6,10.0,2.52,8.2975,2,11.0,0
RA-500,2023,7.9,10.0,2.52,8.7975,2,11.0,0
RA-502,2023,8.0,9.8,7.52,8.95,1,9.0,0
RA-503,2023,8.7,10.0,2.52,8.255,2,11.0,0
RA-508,2023,7.5,8.6,2.52,8.6725,2,10.0,0
RA-513,2023,7.5,9.7,2.52,9.0075,2,10.0,0
RA-516,2023,9.3,9.8,2.52,8.7175,2,10.0,0
RA-518,2023,6.7,8.5,5.0,6.9175,2,11.0,0
